earliest_filing_year,ctry_code,cpc_green,count
1988,PH,Other,17.99999999999999999999
1989,PH,Other,39.71428571428571428575
1990,PH,Other,33.99999999999999999998
1991,PH,Other,36.83333333333333333333
1992,PH,Other,18.49999999999999999999
1993,PH,Other,14.33333333333333333333
1994,PH,Other,15.97619047619047619042
1995,PH,Other,12.79166666666666666670
1996,PH,Other,15.82205387205387205365
1997,PH,Other,26.92916666666666666680
1998,PH,Other,20.33333333333333333342
1999,PH,Other,19.38888888888888888908
2000,PH,Other,42.86268939393939393930
2001,PH,Other,36.26666666666666666622
2002,PH,Other,46.40773809523809523823
2003,PH,Other,41.00511904761904761953
2004,PH,Other,41.93533490319204604931
2005,PH,Other,43.37162698412698412721
2006,PH,Other,42.21111111111111111247
2007,PH,Other,48.88055555555555555620
2008,PH,Other,25.70984848484848484945
2009,PH,Other,27.41785714285714285712
2010,PH,Other,43.83086080586080586079
2011,PH,Other,73.64880952380952380950
2012,PH,Other,108.54777511961722488060
2013,PH,Other,229.69603174603174603267
2014,PH,Other,516.95991883933060403793
2015,PH,Other,639.06881019951840385306
2016,PH,Other,750.91309523809523809590
2017,PH,Other,876.68177655677655677694
2018,PH,Other,813.26666666666666666685
2019,PH,Other,320.83333333333333333333
9999,PH,Other,7.00000000000000000000
1948,PK,Other,1.00000000000000000000
1949,PK,Other,2.00000000000000000000
1950,PK,Other,1.00000000000000000000
1952,PK,Other,1.00000000000000000000
1953,PK,Other,5.99999999999999999998
1954,PK,Other,1.00000000000000000000
1958,PK,Other,2.50000000000000000000
1959,PK,Other,1.00000000000000000000
1962,PK,Other,1.00000000000000000000
1964,PK,Other,1.00000000000000000000
1968,PK,Other,2.99999999999999999999
1971,PK,Other,0.50000000000000000000
1974,PK,Other,0.50000000000000000000
1975,PK,Other,1.00000000000000000000
1976,PK,Other,0.50000000000000000000
1977,PK,Other,2.00000000000000000000
1978,PK,Other,0.50000000000000000000
1979,PK,Other,0.50000000000000000000
1980,PK,Other,2.66666666666666666666
1981,PK,Other,2.00000000000000000000
1982,PK,Other,1.00000000000000000000
1984,PK,Other,1.50000000000000000001
1985,PK,Other,0.83333333333333333333
1986,PK,Other,1.00000000000000000001
1987,PK,Other,1.50000000000000000001
1988,PK,Other,0.50000000000000000000
1989,PK,Other,0.50000000000000000001
1990,PK,Other,1.41666666666666666665
1991,PK,Other,4.00000000000000000000
1992,PK,Other,0.33333333333333333334
1993,PK,Other,1.50000000000000000001
1994,PK,Other,4.57083333333333333337
1995,PK,Other,2.33333333333333333332
1996,PK,Other,4.00000000000000000006
1997,PK,Other,3.33333333333333333333
1998,PK,Other,3.83333333333333333338
1999,PK,Other,8.83333333333333333333
2000,PK,Other,6.00000000000000000000
2001,PK,Other,7.16666666666666666667
2002,PK,Other,8.24999999999999999993
2003,PK,Other,4.28333333333333333339
2004,PK,Other,3.66666666666666666670
2005,PK,Other,7.70000000000000000003
2006,PK,Other,7.20000000000000000004
2007,PK,Other,14.20454545454545454555
2008,PK,Other,7.60000000000000000003
2009,PK,Other,8.47777777777777777773
2010,PK,Other,4.79166666666666666659
2011,PK,Other,5.74637681159420289876
2012,PK,Other,12.20085470085470085482
2013,PK,Other,14.38888888888888888895
2014,PK,Other,20.60623543123543123565
2015,PK,Other,48.98490343505823382014
2016,PK,Other,78.00592873114157943887
2017,PK,Other,67.60892857142857142898
2018,PK,Other,30.88888888888888888894
2019,PK,Other,0.66666666666666666666
9999,PK,Other,2.00000000000000000000
1901,PL,Other,1.00000000000000000000
1904,PL,Other,4.50000000000000000000
1905,PL,Other,1.00000000000000000000
1906,PL,Other,2.00000000000000000000
1907,PL,Other,1.00000000000000000000
1908,PL,Other,4.00000000000000000000
1909,PL,Other,2.00000000000000000000
1910,PL,Other,1.00000000000000000000
1911,PL,Other,8.50000000000000000001
1912,PL,Other,2.00000000000000000000
1913,PL,Other,4.50000000000000000000
1914,PL,Other,2.50000000000000000000
1916,PL,Other,1.00000000000000000000
1918,PL,Other,2.00000000000000000000
1919,PL,Other,5.50000000000000000000
1920,PL,Other,9.00000000000000000000
1921,PL,Other,8.49999999999999999999
1922,PL,Other,2.99999999999999999999
1923,PL,Other,5.00000000000000000000
1924,PL,Other,8.00000000000000000000
1925,PL,Other,10.00000000000000000000
1926,PL,Other,12.50000000000000000002
1927,PL,Other,9.00000000000000000000
1928,PL,Other,6.99999999999999999999
1929,PL,Other,12.00000000000000000000
1930,PL,Other,12.00000000000000000000
1931,PL,Other,9.00000000000000000000
1932,PL,Other,10.00000000000000000000
1933,PL,Other,15.21428571428571428569
1934,PL,Other,10.51666666666666666666
1935,PL,Other,11.83333333333333333334
1936,PL,Other,12.66666666666666666664
1937,PL,Other,10.00000000000000000000
1938,PL,Other,5.00000000000000000000
1939,PL,Other,6.50000000000000000000
1940,PL,Other,2.50000000000000000000
1941,PL,Other,1.00000000000000000000
1942,PL,Other,0.99999999999999999999
1943,PL,Other,4.50000000000000000000
1944,PL,Other,2.00000000000000000000
1945,PL,Other,2.00000000000000000000
1946,PL,Other,5.50000000000000000000
1947,PL,Other,14.00000000000000000000
1948,PL,Other,4.33333333333333333333
1949,PL,Other,11.33333333333333333333
1950,PL,Other,8.16666666666666666668
1951,PL,Other,7.16666666666666666667
1952,PL,Other,14.00000000000000000005
1953,PL,Other,7.50000000000000000002
1954,PL,Other,5.50000000000000000015
1955,PL,Other,10.33333333333333333330
1956,PL,Other,12.50000000000000000000
1957,PL,Other,12.99999999999999999997
1958,PL,Other,11.00000000000000000000
1959,PL,Other,21.74999999999999999996
1960,PL,Other,19.66666666666666666667
1961,PL,Other,24.49999999999999999994
1962,PL,Other,33.76666666666666666679
1963,PL,Other,55.44444444444444444401
1964,PL,Other,42.92857142857142857155
1965,PL,Other,67.53409090909090909087
1966,PL,Other,94.49999999999999999994
1967,PL,Other,67.46666666666666666662
1968,PL,Other,70.80833333333333333350
1969,PL,Other,41.83333333333333333333
1970,PL,Other,52.16666666666666666666
1971,PL,Other,72.53333333333333333334
1972,PL,Other,85.46666666666666666660
1973,PL,Other,106.11666666666666666656
1974,PL,Other,93.89999999999999999998
1975,PL,Other,125.32243589743589743576
1976,PL,Other,1292.55416666666666666667
1977,PL,Other,4014.93842592592592592585
1978,PL,Other,4605.56944444444444444430
1979,PL,Other,4439.99999999999999999989
1980,PL,Other,4165.29047619047619047612
1981,PL,Other,2935.39999999999999999996
1982,PL,Other,2940.13888888888888888885
1983,PL,Other,3123.85509259259259259247
1984,PL,Other,3407.49999999999999999989
1985,PL,Other,3527.99999999999999999987
1986,PL,Other,595.31944444444444444449
1987,PL,Other,1067.24027777777777777784
1988,PL,Other,4643.18749999999999999999
1989,PL,Other,2015.58888888888888888892
1990,PL,Other,2689.01821789321789321806
1991,PL,Other,2109.98958333333333333344
1992,PL,Other,2124.70555555555555555579
1993,PL,Other,2046.17083333333333333331
1994,PL,Other,2302.67916666666666666663
1995,PL,Other,2320.07222222222222222211
1996,PL,Other,1852.51349206349206349202
1997,PL,Other,2068.10277777777777777791
1998,PL,Other,1995.53686868686868686883
1999,PL,Other,1730.07287878787878787905
2000,PL,Other,1826.15874384236453201981
2001,PL,Other,1750.00449134199134199127
2002,PL,Other,1723.80758145363408521286
2003,PL,Other,1790.93922154234654234636
2004,PL,Other,1884.90854789545966016551
2005,PL,Other,1736.27055555555555555524
2006,PL,Other,1611.06484279609279609290
2007,PL,Other,2082.96853100603100603091
2008,PL,Other,2390.99590548340548340544
2009,PL,Other,2622.43937349657778046564
2010,PL,Other,2988.34788263408178448875
2011,PL,Other,3728.14099049099049099058
2012,PL,Other,4114.09798994687923500845
2013,PL,Other,4099.80804447599738721399
2014,PL,Other,4004.71079514167749461920
2015,PL,Other,4846.33423374393962629495
2016,PL,Other,4576.59304503870680341360
2017,PL,Other,4722.05935623077463684783
2018,PL,Other,3056.10239651416122004449
2019,PL,Other,212.50000000000000000016
9999,PL,Other,139.99999999999999999999
1991,PM,Other,0.33333333333333333333
2013,PM,Other,0.75000000000000000000
2000,PN,Other,0.50000000000000000000
2005,PN,Other,1.00000000000000000000
2013,PN,Other,1.33333333333333333337
2016,PO,Other,0.50000000000000000000
1951,PR,Other,1.00000000000000000000
1957,PR,Other,0.99999999999999999999
1962,PR,Other,1.00000000000000000000
1963,PR,Other,0.50000000000000000001
1967,PR,Other,1.00000000000000000000
1975,PR,Other,0.33333333333333333332
1977,PR,Other,1.00000000000000000000
1979,PR,Other,1.00000000000000000002
1981,PR,Other,0.50000000000000000000
1982,PR,Other,1.33333333333333333332
1987,PR,Other,1.00000000000000000000
1988,PR,Other,1.00000000000000000000
1989,PR,Other,2.00000000000000000000
1990,PR,Other,1.00000000000000000004
1993,PR,Other,7.49999999999999999997
1994,PR,Other,13.49999999999999999999
1995,PR,Other,6.24999999999999999997
1996,PR,Other,4.33333333333333333335
1997,PR,Other,2.49999999999999999999
